
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-16


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.0
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 164,848,850,864,1111,1787,1794,2709,2734,3753,3756,3943,6948,6971
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0407, 3.2722, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 3.3618, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 848, 0.0914, 1.91, -, 6.1, 10.6, 2.2, "Landers", 1992, "Coolwater", 7.28, strike slip, 19.74, 19.74, 352.98, 0.1, 1.9624, RSN848_LANDERS_CLW-LN.AT2, RSN848_LANDERS_CLW-TR.AT2 , RSN848_LANDERS_CLW-UP.AT2  
3, RotD50, 850, 0.0404, 3.8462, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 3.9516, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
4, RotD50, 864, 0.1007, 2.2551, -, 21.7, 27.1, 2.3, "Landers", 1992, "Joshua Tree", 7.28, strike slip, 11.03, 11.03, 379.32, 0.07, 2.3169, RSN864_LANDERS_JOS000.AT2, RSN864_LANDERS_JOS090.AT2 , RSN864_LANDERS_JOS-UP.AT2  
5, RotD50, 1111, 0.0803, 1.617, -, 4.5, 11.2, 3.4, "Kobe_ Japan", 1995, "Nishi-Akashi", 6.9, strike slip, 7.08, 7.08, 609.0, 0.125, 1.6613, RSN1111_KOBE_NIS000.AT2, RSN1111_KOBE_NIS090.AT2 , RSN1111_KOBE_NIS-UP.AT2  
6, RotD50, 1787, 0.0585, 2.0781, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 2.1351, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
7, RotD50, 1794, 0.0667, 4.0068, -, 7.4, 14.6, 0.6, "Hector Mine", 1999, "Joshua Tree", 7.13, strike slip, 31.06, 31.06, 379.32, 0.0169, 4.1167, RSN1794_HECTOR_JOS090.AT2, RSN1794_HECTOR_JOS360.AT2 , RSN1794_HECTOR_JOS-UP.AT2  
8, RotD50, 2709, 0.0861, 4.731, -, 4.3, 12.1, 0.3, "Chi-Chi_ Taiwan-04", 1999, "CHY035", 6.2, strike slip, 25.01, 25.06, 573.04, 0.05, 4.8607, RSN2709_CHICHI.04_CHY035N.AT2, RSN2709_CHICHI.04_CHY035E.AT2 , RSN2709_CHICHI.04_CHY035V.AT2  
9, RotD50, 2734, 0.0438, 1.7907, 2.436, 4.4, 7.4, 1.6, "Chi-Chi_ Taiwan-04", 1999, "CHY074", 6.2, strike slip, 6.02, 6.2, 553.43, 0.08, 1.8398, RSN2734_CHICHI.04_CHY074N.AT2, RSN2734_CHICHI.04_CHY074E.AT2 , RSN2734_CHICHI.04_CHY074V.AT2  
10, RotD50, 3753, 0.094, 3.5619, -, 22.7, 29.6, 1.2, "Landers", 1992, "Fun Valley", 7.28, strike slip, 25.02, 25.02, 388.63, 0.0625, 3.6596, RSN3753_LANDERS_FVR045.AT2, RSN3753_LANDERS_FVR135.AT2 , RSN3753_LANDERS_FVR-UP.AT2  
11, RotD50, 3756, 0.0545, 3.6699, -, 23.0, 32.9, 1.0, "Landers", 1992, "Morongo Valley Hall (GEOS #58)", 7.28, strike slip, 40.67, 40.67, 368.2, 0.05, 3.7705, RSN3756_LANDERS_MVP000.AT2, RSN3756_LANDERS_MVP090.AT2 , RSN3756_LANDERS_MVP-UP.AT2  
12, RotD50, 3943, 0.0548, 3.3439, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 3.4355, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
13, RotD50, 6948, 0.0471, 4.6195, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 4.7461, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  
14, RotD50, 6971, 0.0503, 3.5532, -, 16.1, 22.7, 1.0, "Darfield_ New Zealand", 2010, "SPFS", 7.0, strike slip, 29.86, 29.86, 389.54, 0.0375, 3.6506, RSN6971_DARFIELD_SPFSN17E.AT2, RSN6971_DARFIELD_SPFSN73W.AT2 , RSN6971_DARFIELD_SPFSUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-848 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-864 RotD50 pSa (g),RSN-1111 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-1794 RotD50 pSa (g),RSN-2709 RotD50 pSa (g),RSN-2734 RotD50 pSa (g),RSN-3753 RotD50 pSa (g),RSN-3756 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-6948 RotD50 pSa (g),RSN-6971 RotD50 pSa (g)
0.01,0.73089,0.63820052,0.71000438,0.5736583,0.56525185,0.67114743,0.59765666,0.62216233,0.77197752,0.6558665,0.5871471,0.58606575,0.58268607,0.75030557,0.5978975,0.74270001,0.63483518,0.56910778
0.02,0.73585,0.64035857,0.71109456,0.57665903,0.5663261,0.67676515,0.60336942,0.62649388,0.76346754,0.6508484,0.58878229,0.58952839,0.58650734,0.75748396,0.60316241,0.74600645,0.63641088,0.56986781
0.022,0.7387926,0.64268203,0.7127451,0.57950618,0.56608495,0.67692253,0.60418674,0.62678501,0.76412243,0.65343611,0.58911125,0.59036909,0.58865462,0.755537,0.61112619,0.7484525,0.64926684,0.57349313
0.025,0.7427578,0.64615575,0.71758635,0.58183555,0.56743864,0.69422301,0.60887719,0.62487902,0.76528327,0.6595735,0.5910145,0.5930355,0.58739878,0.75800649,0.61349478,0.75110955,0.659553,0.57229322
0.029,0.74738828,0.65423749,0.72737073,0.5884574,0.57647045,0.69628295,0.60314365,0.62488985,0.76671594,0.6645995,0.59169606,0.59594697,0.59394055,0.76189115,0.64250461,0.76795972,0.69587399,0.57740946
0.03,0.74845,0.65533881,0.72993649,0.58836482,0.5809605,0.6946583,0.60152709,0.62506755,0.76692793,0.66374705,0.59185633,0.59707011,0.59335408,0.76142632,0.64803228,0.7841234,0.68914574,0.57684663
0.032,0.75295764,0.66468065,0.74821254,0.59047442,0.59506219,0.69718123,0.6021821,0.62569694,0.76777153,0.66463629,0.59428127,0.60488623,0.60027978,0.76354389,0.65146038,0.85114924,0.70046065,0.58693734
0.035,0.75926157,0.66855721,0.75567075,0.59148609,0.60740968,0.69035811,0.60346058,0.62602393,0.76915665,0.67151807,0.59835062,0.61807396,0.59308117,0.76563903,0.66495514,0.88140739,0.67606665,0.59429991
0.036,0.76125419,0.6674867,0.75776407,0.58796466,0.60311694,0.68968292,0.60412828,0.62618471,0.7707756,0.67225478,0.59672825,0.61112314,0.59697604,0.75951355,0.66441896,0.89508856,0.66398861,0.59083341
0.04,0.76875314,0.67364817,0.77370094,0.58653393,0.62190763,0.70677826,0.59547124,0.62325153,0.78002278,0.68402437,0.59812864,0.59648867,0.60232768,0.76942324,0.6600631,0.9308571,0.66367079,0.59865931
0.042,0.77225072,0.6752277,0.77547535,0.58793932,0.62421516,0.72032137,0.5940743,0.62569694,0.78695522,0.68964015,0.59601543,0.60177842,0.60397821,0.76906099,0.65733853,0.9255547,0.66920768,0.58935067
0.044,0.77560038,0.68164428,0.78142121,0.59460752,0.65583075,0.73231412,0.60397366,0.62913436,0.79760402,0.68821516,0.59225181,0.61732172,0.59718806,0.78227011,0.6460362,0.92276891,0.68061082,0.59750026
0.045,0.77722374,0.68402122,0.78656507,0.59484594,0.64537358,0.72733607,0.60706678,0.62914811,0.80187211,0.69300446,0.59327115,0.62238581,0.59760674,0.78836709,0.64422324,0.93294168,0.69605507,0.59764523
0.046,0.77881469,0.69074195,0.79942732,0.59683279,0.6626136,0.73015657,0.60758063,0.62849031,0.80525877,0.70719177,0.6012147,0.62725545,0.59755302,0.79487904,0.6454758,0.96073171,0.70773538,0.59425052
0.048,0.78190467,0.70270587,0.81302448,0.60735631,0.70535126,0.73722876,0.60909027,0.62829479,0.81148571,0.74677343,0.60839415,0.63897135,0.59772009,0.80773588,0.65408953,0.9601492,0.74188522,0.5907126
0.05,0.78488,0.71490526,0.82778187,0.61742053,0.73127722,0.73503894,0.61982348,0.62915127,0.81768936,0.78115369,0.60764447,0.64343507,0.60701818,0.81210033,0.66717509,0.96260228,0.79678892,0.59777528
0.055,0.81342927,0.73421174,0.86906061,0.62028685,0.76753142,0.76586323,0.63994144,0.6317295,0.82161076,0.75580527,0.6035575,0.63520262,0.6522447,0.81440063,0.67008683,1.06295094,0.85689505,0.60114442
0.06,0.84039852,0.75361008,0.88982146,0.63824956,0.83565022,0.79696448,0.63289635,0.63834027,0.81308946,0.72934193,0.61951874,0.69437588,0.70519542,0.81952841,0.68583017,1.0506762,0.93431032,0.59482329
0.065,0.86599675,0.77774638,0.90378147,0.66928727,0.97015259,0.76565848,0.68389547,0.63629491,0.84661504,0.80095658,0.61485157,0.75521729,0.73584528,0.80781531,0.68407043,0.9544646,0.96971896,0.66289283
0.067,0.87589084,0.79078613,0.92454238,0.67638078,0.96474208,0.74217588,0.69654833,0.63425384,0.85235525,0.82397789,0.61549828,0.76868793,0.77239062,0.8115842,0.70354684,0.99107245,1.01568261,0.67848956
0.07,0.89039162,0.80307598,0.94457796,0.68277163,0.96087112,0.79411914,0.68664166,0.64684169,0.83234705,0.85135895,0.61762751,0.76283329,0.79130429,0.83199593,0.70300478,1.01583693,1.06028953,0.68799186
0.075,0.91372,0.83561357,1.0006935,0.69776613,1.20344665,0.78672072,0.75662912,0.6455917,0.89285175,0.76727873,0.6464543,0.75331448,0.8410811,0.8911032,0.73387491,0.99919107,1.03358811,0.74746409
0.08,0.94200068,0.85626739,1.01062196,0.72548774,1.18131999,0.84622627,0.84189908,0.6311398,0.91770435,0.76775296,0.65906622,0.76518461,0.89585498,0.89893058,0.77818732,1.06390963,0.95253179,0.78803585
0.085,0.9693631,0.89414768,1.05661127,0.75666434,1.19061063,0.9007851,0.90507298,0.64494247,0.94659591,0.87094986,0.67156595,0.75639437,0.92462115,0.98423987,0.75694567,1.0689375,1.06167028,0.83473578
0.09,0.99588862,0.95391099,1.17106792,0.77702254,1.44975703,0.9050171,0.93061677,0.64838845,1.00809054,0.93143374,0.69565225,0.82121126,0.9901925,1.00240793,0.78195269,1.15024072,1.13284558,0.90694728
0.095,1.02164729,0.97620097,1.20610378,0.79012133,1.46352856,0.90476479,1.0271088,0.6459329,1.02232021,0.91095068,0.68462303,0.77412198,1.04612338,1.06809803,0.80979254,1.21258947,1.08623474,1.0106244
0.1,1.0467,0.99144422,1.22540386,0.80215321,1.49216027,0.90577251,1.04282709,0.66722063,1.00304726,0.87678405,0.70164327,0.84188772,1.11479255,1.03297013,0.81904044,1.22996363,1.1608312,0.99127835
0.11,1.1416956,1.06303362,1.33631434,0.84563972,1.46715313,0.84175991,1.09811742,0.73107637,1.05533627,0.9535548,0.74312045,0.82288747,1.24640121,1.23707671,0.93788837,1.42329304,1.38960685,0.93519869
0.12,1.23592862,1.08130963,1.32501726,0.88242662,1.50672464,0.90366539,1.05210182,0.73194909,1.13156961,1.07890496,0.7714584,0.88021515,1.37026866,1.14593864,0.9922212,1.33212803,1.26238963,0.97879954
0.13,1.32946814,1.15297115,1.36699892,0.9724532,1.45267023,1.13302763,1.03240234,0.78559135,1.26881005,1.12174474,0.8077912,1.06273656,1.42857998,1.32547813,1.08825528,1.27944879,1.30218907,1.05287077
0.133,1.35740368,1.15546622,1.3532004,0.98662562,1.43888888,1.17695305,1.05757343,0.81450643,1.23597267,1.10081176,0.80611514,1.04182308,1.36230629,1.35905267,1.16035652,1.31781854,1.20084129,1.10350729
0.14,1.42237215,1.15854127,1.359732,0.98711944,1.39107611,1.09619636,1.06843127,0.83622014,1.22382442,1.01203991,0.81409075,1.06846488,1.33488766,1.39937211,1.31493947,1.37091308,1.13224689,1.15687479
0.15,1.51469,1.23241576,1.48415815,1.02337383,1.52266561,0.99458543,1.18949016,0.78486566,1.24295426,1.21804904,0.88204511,1.07433371,1.46485188,1.47337187,1.44968377,1.50903962,1.28580291,1.16208164
