,repair_cost-,repair_time-parallel,repair_time-sequential
2236,10850864.978762215,1507.3496112772266,3394.953265627996
2237,3942799.7083705836,906.6030184847838,1854.9945080365387
2238,3246651.49861326,720.0992823752713,1905.1509861221987
2239,9729080.304648826,12895.68138851994,12895.68138851994
2240,4051160.0860740393,1014.0863997925696,2654.0396216966396
2241,5085238.6070248075,1114.7363195259197,3163.55719613605
2242,11848396.677428134,1316.7807311740928,2926.2576550157287
2243,3371164.5440979395,811.008633182241,1766.977538127858
2244,9303718.885373581,1358.4578121516556,3347.3726831661243
2245,3548610.2841445394,921.0397153556322,2164.9579714156725
2246,3417159.271784816,682.0905711193762,1999.2654079436363
2247,9242686.37168298,1254.8510192332828,3374.758465876226
2248,4706305.176313359,1098.6722463603478,2900.3968397617914
2249,10160139.009691847,1647.386308199097,3603.4267090378
2250,4290745.1835020045,1240.9300567202315,2924.757837313175
2251,4926787.131661518,1120.9734498915475,3050.0049726923316
2252,3955690.422738013,588.2861837460237,1906.7554881528154
2253,3618827.532542909,700.075539754322,2186.132690971931
2254,3739939.7735221265,875.1674808112369,2047.8808972917705
2255,3132515.239733541,735.5053044967069,1828.5081885581744
2256,4859740.662754304,1365.5572306742104,2899.321051298175
2257,3357366.5305454303,689.4295296789087,1616.6025596337922
2258,4862475.779192063,1218.5461875232936,3053.9593439258188
2259,4568134.366515173,573.6226490607258,1736.549519185359
2260,5008666.546334277,1392.8692997386588,2858.04092304538
2261,4048123.6228152285,585.876042062088,1951.12159057005
2262,4350122.302734209,779.947627194374,2061.305244019662
2263,4539049.311003719,1357.364244576155,2966.3791570425105
2264,4291678.626309209,912.7933416176527,2381.6803696625766
2265,3340502.802538704,691.6159578803287,1945.6393779688153
2266,3590605.6750830826,858.9508232018271,1960.6794443824078
2267,4629160.863912431,1178.1448254046045,2792.643310532376
2268,4030304.4877180955,934.3737758056222,2351.571154168758
2269,4452761.992914611,1044.906931924078,2168.7208275589815
2270,3454560.2910977555,590.5072875561921,1649.6064740794768
2271,3499946.2895354116,646.7868853717225,1773.8282372541355
2272,3355437.900227728,576.4937517171248,1602.247688500501
2273,3622206.1107524666,722.9915153529512,1980.2439575160936
2274,5239331.65443448,1200.4972907644342,3127.3010737388486
2275,4978039.1642585285,1237.8369722387667,3131.3774825588716
2276,5179384.789888257,889.8407964697908,2621.2948179234522
2277,3827873.7572343536,1293.372470159536,2611.348457759767
2278,12394331.054084191,1317.880379258295,2922.5858269524265
2279,4166065.3256404656,947.1527190978453,2153.897012797762
2280,4580568.268111236,1032.9751187636484,2478.882369748901
2281,3940650.05187611,969.0142483717453,2612.576637876374
2282,4976905.01032114,944.1818957129265,2780.0981670545475
