
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-16


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.000
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 164,848,850,864,1111,1787,1794,2709,2734,3753,3756,3943,6948,6971
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0421, 3.4246, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 3.5184, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 848, 0.0919, 1.999, -, 6.1, 10.6, 2.2, "Landers", 1992, "Coolwater", 7.28, strike slip, 19.74, 19.74, 352.98, 0.1, 2.0538, RSN848_LANDERS_CLW-LN.AT2, RSN848_LANDERS_CLW-TR.AT2 , RSN848_LANDERS_CLW-UP.AT2  
3, RotD50, 850, 0.0404, 4.0253, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 4.1357, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
4, RotD50, 864, 0.0974, 2.3601, -, 21.7, 27.1, 2.3, "Landers", 1992, "Joshua Tree", 7.28, strike slip, 11.03, 11.03, 379.32, 0.07, 2.4248, RSN864_LANDERS_JOS000.AT2, RSN864_LANDERS_JOS090.AT2 , RSN864_LANDERS_JOS-UP.AT2  
5, RotD50, 1111, 0.0795, 1.6923, -, 4.5, 11.2, 3.4, "Kobe_ Japan", 1995, "Nishi-Akashi", 6.9, strike slip, 7.08, 7.08, 609.0, 0.125, 1.7387, RSN1111_KOBE_NIS000.AT2, RSN1111_KOBE_NIS090.AT2 , RSN1111_KOBE_NIS-UP.AT2  
6, RotD50, 1787, 0.0594, 2.1749, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 2.2345, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
7, RotD50, 1794, 0.0639, 4.1934, -, 7.4, 14.6, 0.6, "Hector Mine", 1999, "Joshua Tree", 7.13, strike slip, 31.06, 31.06, 379.32, 0.0169, 4.3084, RSN1794_HECTOR_JOS090.AT2, RSN1794_HECTOR_JOS360.AT2 , RSN1794_HECTOR_JOS-UP.AT2  
8, RotD50, 2709, 0.086, 4.9514, -, 4.3, 12.1, 0.3, "Chi-Chi_ Taiwan-04", 1999, "CHY035", 6.2, strike slip, 25.01, 25.06, 573.04, 0.05, 5.0871, RSN2709_CHICHI.04_CHY035N.AT2, RSN2709_CHICHI.04_CHY035E.AT2 , RSN2709_CHICHI.04_CHY035V.AT2  
9, RotD50, 2734, 0.0416, 1.8741, 2.436, 4.4, 7.4, 1.6, "Chi-Chi_ Taiwan-04", 1999, "CHY074", 6.2, strike slip, 6.02, 6.2, 553.43, 0.08, 1.9255, RSN2734_CHICHI.04_CHY074N.AT2, RSN2734_CHICHI.04_CHY074E.AT2 , RSN2734_CHICHI.04_CHY074V.AT2  
10, RotD50, 3753, 0.093, 3.7278, -, 22.7, 29.6, 1.2, "Landers", 1992, "Fun Valley", 7.28, strike slip, 25.02, 25.02, 388.63, 0.0625, 3.83, RSN3753_LANDERS_FVR045.AT2, RSN3753_LANDERS_FVR135.AT2 , RSN3753_LANDERS_FVR-UP.AT2  
11, RotD50, 3756, 0.0516, 3.8409, -, 23.0, 32.9, 1.0, "Landers", 1992, "Morongo Valley Hall (GEOS #58)", 7.28, strike slip, 40.67, 40.67, 368.2, 0.05, 3.9461, RSN3756_LANDERS_MVP000.AT2, RSN3756_LANDERS_MVP090.AT2 , RSN3756_LANDERS_MVP-UP.AT2  
12, RotD50, 3943, 0.0587, 3.4996, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 3.5955, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
13, RotD50, 6948, 0.0496, 4.8346, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 4.9671, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  
14, RotD50, 6971, 0.0473, 3.7187, -, 16.1, 22.7, 1.0, "Darfield_ New Zealand", 2010, "SPFS", 7.0, strike slip, 29.86, 29.86, 389.54, 0.0375, 3.8206, RSN6971_DARFIELD_SPFSN17E.AT2, RSN6971_DARFIELD_SPFSN73W.AT2 , RSN6971_DARFIELD_SPFSUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-848 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-864 RotD50 pSa (g),RSN-1111 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-1794 RotD50 pSa (g),RSN-2709 RotD50 pSa (g),RSN-2734 RotD50 pSa (g),RSN-3753 RotD50 pSa (g),RSN-3756 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-6948 RotD50 pSa (g),RSN-6971 RotD50 pSa (g)
0.01,0.76336,0.66792347,0.74307146,0.60037532,0.59157736,0.70240482,0.62549136,0.65113833,0.80793088,0.68641221,0.61449234,0.61336063,0.60982355,0.7852496,0.62574342,0.77728983,0.6644014,0.59561288
0.02,0.76806,0.67018203,0.74421241,0.60351581,0.59270164,0.70828417,0.63147018,0.65567162,0.79902456,0.6811604,0.61620368,0.61698453,0.61382279,0.7927623,0.63125353,0.78075025,0.66605048,0.5964083
0.022,0.77087568,0.6726137,0.74593982,0.60649556,0.59244925,0.70844889,0.63232557,0.65597631,0.79970995,0.68386863,0.61654796,0.61786439,0.61607008,0.79072467,0.63958821,0.78331022,0.67950519,0.60020246
0.025,0.77466838,0.6762492,0.75100654,0.60893341,0.59386599,0.7265551,0.63723446,0.65398155,0.80092486,0.69029186,0.61853985,0.62065497,0.61475574,0.79330918,0.64206711,0.78609102,0.6902704,0.59894667
0.029,0.77909528,0.68470733,0.76124662,0.61586366,0.60331844,0.72871098,0.6312339,0.65399288,0.80242426,0.69555194,0.61925316,0.62370204,0.62160218,0.79737475,0.67242801,0.80372596,0.72828297,0.60430118
0.03,0.78011,0.68585994,0.76393187,0.61576677,0.60801761,0.72701066,0.62954205,0.65417885,0.80264612,0.69465978,0.6194209,0.62487749,0.6209884,0.79688827,0.67821313,0.82064242,0.72124137,0.60371215
0.032,0.78441603,0.69563686,0.78305909,0.61797462,0.62277606,0.7296511,0.63022756,0.65483756,0.803529,0.69559043,0.62195877,0.63305763,0.62823665,0.79910447,0.68180088,0.89078986,0.73308325,0.61427281
0.035,0.79043441,0.69969396,0.79086466,0.61903341,0.63569861,0.7225102,0.63156558,0.65517978,0.80497864,0.70279273,0.62621764,0.64685955,0.62070278,0.80129718,0.69592414,0.92245723,0.70755315,0.62197827
0.036,0.79233591,0.6985736,0.79305546,0.61534797,0.63120594,0.72180356,0.63226438,0.65534805,0.80667299,0.70356374,0.62451971,0.63958501,0.62477904,0.79488642,0.69536299,0.93677558,0.69491259,0.61835033
0.04,0.79948821,0.70502203,0.80973457,0.61385061,0.65087177,0.73969509,0.62320416,0.65227826,0.81635084,0.71588148,0.62598532,0.62426897,0.63037993,0.80525764,0.69080426,0.97420996,0.69457997,0.62654071
0.042,0.80282212,0.70667512,0.81159161,0.61532145,0.65328677,0.75386894,0.62174216,0.65483756,0.82360614,0.7217588,0.62377369,0.62980509,0.63210733,0.80487851,0.6879528,0.96866062,0.70037473,0.61679853
0.044,0.80601386,0.71339054,0.81781438,0.62230022,0.68637479,0.76642023,0.63210256,0.65843507,0.83475089,0.72026745,0.61983479,0.64607228,0.62500094,0.81870282,0.67612408,0.96574508,0.71230895,0.62532768
0.045,0.80756027,0.71587819,0.82319781,0.62254973,0.67543061,0.76121033,0.63533974,0.65844947,0.83921776,0.72527981,0.6209016,0.65137222,0.62543912,0.82508376,0.67422669,0.97639163,0.72847249,0.6254794
0.046,0.80907555,0.72291191,0.8366591,0.62462912,0.69347355,0.7641622,0.63587752,0.65776102,0.84276214,0.74012786,0.62921511,0.65646866,0.62538289,0.83189899,0.67553758,1.00547592,0.74069678,0.62192658
0.048,0.81201781,0.73543304,0.85088952,0.63564275,0.73820162,0.77156376,0.63745746,0.6575564,0.84927909,0.78155296,0.63672893,0.6687302,0.62555775,0.84535461,0.68455248,1.00486629,0.77643709,0.6182239
0.05,0.81485,0.74820058,0.86633421,0.6461757,0.76533504,0.76927195,0.64869056,0.65845277,0.85577166,0.81753442,0.63594434,0.67340181,0.63528888,0.84992233,0.69824748,1.00743361,0.83389782,0.62561551
0.055,0.84371824,0.76840623,0.90953543,0.64917551,0.80327771,0.80153183,0.66974547,0.66115108,0.8598757,0.79100544,0.63166702,0.66478595,0.68262173,0.85232976,0.70129482,1.11245582,0.89680328,0.62914155
0.06,0.870965,0.78870801,0.93126317,0.66797479,0.87456901,0.83408155,0.66237227,0.66806973,0.85095753,0.76330961,0.64837162,0.72671509,0.73803853,0.85769636,0.71777138,1.09960941,0.97782401,0.62252603
0.065,0.89680594,0.81396841,0.94587334,0.70045803,1.01533557,0.80131754,0.71574658,0.66592911,0.88604449,0.83825958,0.64348709,0.79039007,0.77011585,0.84543774,0.71592968,0.99891693,1.01488174,0.69376578
0.067,0.90678858,0.82761546,0.96760114,0.70788191,1.00967307,0.77674128,0.72898872,0.66379298,0.89205205,0.86235306,0.64416392,0.80448808,0.80836322,0.84938216,0.73631317,1.03722973,1.06298606,0.71008889
0.07,0.92141395,0.84047769,0.98856984,0.71457039,1.00562183,0.83110369,0.71862067,0.67696709,0.871112,0.89100934,0.64639231,0.79836077,0.82815776,0.87074453,0.73574587,1.06314757,1.10967046,0.72003374
0.075,0.94493,0.87453065,1.04729886,0.73026324,1.25949485,0.82336071,0.79186765,0.67565889,0.93443459,0.80301325,0.67656166,0.78839864,0.88025282,0.93260461,0.76805371,1.04572646,1.08172547,0.78227578
0.08,0.97382267,0.89614638,1.05768972,0.75927592,1.23633768,0.88563762,0.88110889,0.66053391,0.96044465,0.80350957,0.68976095,0.8008216,0.93757769,0.94079653,0.81442989,1.11345916,0.99689411,0.82473709
0.085,1.00176737,0.93579087,1.10582089,0.79190452,1.24606101,0.94273742,0.947225,0.67497941,0.99068178,0.91151266,0.70284283,0.79162197,0.96768359,1.03007894,0.79219894,1.11872119,1.11111552,0.87361198
0.09,1.02884837,0.99833755,1.22560814,0.81321087,1.51727665,0.94716652,0.97395845,0.67858589,1.05504041,0.97481346,0.72805091,0.85945759,1.0363088,1.04909314,0.81837062,1.20381096,1.18560566,0.94918659
0.095,1.05513824,1.02166564,1.26227573,0.8269197,1.53168956,0.94690246,1.07494441,0.67601597,1.0699328,0.95337644,0.71650802,0.81017521,1.09484456,1.11784263,0.84750706,1.26906348,1.13682402,1.05769227
0.1,1.0807,1.03761881,1.28247467,0.83951195,1.56165474,0.94795711,1.09139474,0.69829513,1.04976225,0.91761857,0.73432095,0.88109701,1.16671185,1.08107871,0.85718566,1.28724681,1.21489467,1.03744521
0.11,1.18056791,1.11254235,1.39855059,0.88502375,1.53548294,0.88096324,1.14926012,0.76512483,1.10448652,0.99796476,0.77772984,0.86121185,1.30444994,1.29469116,0.9815687,1.48958016,1.4543251,0.97875376
0.12,1.27977755,1.13166953,1.38672738,0.92352393,1.57689742,0.94575185,1.10110143,0.76603819,1.18427027,1.12915287,0.80738758,0.92120946,1.43408627,1.19930852,1.03843198,1.39416931,1.32118298,1.02438523
0.13,1.37838771,1.20666855,1.43066425,1.01774332,1.52032553,1.1857962,1.08048447,0.82217874,1.32790243,1.17398783,0.84541251,1.11223145,1.49511333,1.38720971,1.13893866,1.33903664,1.362836,1.10190619
0.133,1.40786145,1.20927982,1.41622309,1.03257579,1.50590234,1.23176736,1.10682787,0.85244049,1.29353571,1.15207993,0.84365839,1.09034397,1.42575307,1.42234791,1.21439788,1.37919338,1.25676815,1.154901
0.14,1.47644782,1.21249809,1.42305888,1.03309261,1.45586278,1.14724958,1.11819138,0.87516548,1.28082167,1.05917371,0.85200545,1.11822656,1.39705747,1.46454515,1.37618022,1.4347607,1.1849791,1.21075399
0.15,1.574,1.28981314,1.55327994,1.07103549,1.59358081,1.04090632,1.24488836,0.82141926,1.30084245,1.27477731,0.92312465,1.12436872,1.53307452,1.54199131,1.51719999,1.57932022,1.34568669,1.21620334
