Hazard Level 14,
,
T (s),Sa (g)
0.01000,0.73089
0.02000,0.73585
0.03000,0.74845
0.05000,0.78488
0.07500,0.91372
0.10000,1.04670
0.15000,1.51469
0.20000,1.72113
0.25000,1.71148
0.30000,1.63319
0.40000,1.47574
0.50000,1.39811
0.75000,1.22813
0.82000,1.20483
1.00000,0.90117
1.50000,0.46574
2.00000,0.28951
3.00000,0.14757
4.00000,0.09513
5.00000,0.06718
7.50000,0.03398
10.00000,0.01963
