Hazard Level 4,
,
T (s),Sa (g)
0.01000,0.29083
0.02000,0.29543
0.03000,0.30702
0.05000,0.34327
0.07500,0.42400
0.10000,0.49589
0.15000,0.64407
0.20000,0.68813
0.25000,0.65330
0.30000,0.59709
0.40000,0.50582
0.50000,0.45172
0.75000,0.35059
0.82000,0.34053
1.00000,0.27879
1.50000,0.16167
2.00000,0.10819
3.00000,0.06056
4.00000,0.04123
5.00000,0.03062
7.50000,0.01742
10.00000,0.01093
