Hazard Level 6,
,
T (s),Sa (g)
0.01000,0.41739
0.02000,0.42300
0.03000,0.43684
0.05000,0.47883
0.07500,0.58155
0.10000,0.67711
0.15000,0.91106
0.20000,0.98950
0.25000,0.95015
0.30000,0.87781
0.40000,0.75488
0.50000,0.68448
0.75000,0.55031
0.82000,0.53489
1.00000,0.42469
1.50000,0.23809
2.00000,0.15601
3.00000,0.08531
4.00000,0.05738
5.00000,0.04203
7.50000,0.02315
10.00000,0.01403
