Hazard Level 11,
,
T (s),Sa (g)
0.01000,0.62919
0.02000,0.63491
0.03000,0.64895
0.05000,0.68998
0.07500,0.81456
0.10000,0.93874
0.15000,1.32874
0.20000,1.48675
0.25000,1.46042
0.30000,1.37796
0.40000,1.22341
0.50000,1.14163
0.75000,0.97370
0.82000,0.95127
1.00000,0.72420
1.50000,0.38451
2.00000,0.24330
3.00000,0.12719
4.00000,0.08331
5.00000,0.05957
7.50000,0.03095
10.00000,0.01815
