Hazard Level 1,
,
T (s),Sa (g)
0.01000,0.06087
0.02000,0.06215
0.03000,0.06546
0.05000,0.07649
0.07500,0.09779
0.10000,0.11499
0.15000,0.13459
0.20000,0.13776
0.25000,0.12758
0.30000,0.11376
0.40000,0.09401
0.50000,0.08069
0.75000,0.05519
0.82000,0.05335
1.00000,0.04704
1.50000,0.02958
2.00000,0.02071
3.00000,0.01162
4.00000,0.00770
5.00000,0.00565
7.50000,0.00347
10.00000,0.00234
