Hazard Level 13,
,
T (s),Sa (g)
0.01000,0.69677
0.02000,0.70206
0.03000,0.71528
0.05000,0.75358
0.07500,0.88154
0.10000,1.01203
0.15000,1.45379
0.20000,1.64311
0.25000,1.62692
0.30000,1.54639
0.40000,1.38870
0.50000,1.30874
0.75000,1.13809
0.82000,1.11473
1.00000,0.83869
1.50000,0.43756
2.00000,0.27372
3.00000,0.14081
4.00000,0.09131
5.00000,0.06478
7.50000,0.03307
10.00000,0.01922
