Hazard Level 15,
,
T (s),Sa (g)
0.01000,0.76336
0.02000,0.76806
0.03000,0.78011
0.05000,0.81485
0.07500,0.94493
0.10000,1.08070
0.15000,1.57400
0.20000,1.79641
0.25000,1.79262
0.30000,1.71615
0.40000,1.55849
0.50000,1.48294
0.75000,1.31400
0.82000,1.29048
1.00000,0.96048
1.50000,0.49281
2.00000,0.30491
3.00000,0.15445
4.00000,0.09917
5.00000,0.06982
7.50000,0.03508
10.00000,0.02023
