Hazard Level 16,
,
T (s),Sa (g)
0.01000,0.79301
0.02000,0.79729
0.03000,0.80861
0.05000,0.84122
0.07500,0.97124
0.10000,1.10846
0.15000,1.62473
0.20000,1.86356
0.25000,1.86713
0.30000,1.79412
0.40000,1.63885
0.50000,1.56713
0.75000,1.40164
0.82000,1.37892
1.00000,1.02145
1.50000,0.51966
2.00000,0.31969
3.00000,0.16055
4.00000,0.10252
5.00000,0.07189
7.50000,0.03584
10.00000,0.02056
