Hazard Level 5,
,
T (s),Sa (g)
0.01000,0.35590
0.02000,0.36107
0.03000,0.37398
0.05000,0.41372
0.07500,0.50639
0.10000,0.59083
0.15000,0.78227
0.20000,0.84326
0.25000,0.80547
0.30000,0.74045
0.40000,0.63230
0.50000,0.56934
0.75000,0.45054
0.82000,0.43781
1.00000,0.35256
1.50000,0.20073
2.00000,0.13280
3.00000,0.07341
4.00000,0.04966
5.00000,0.03661
7.50000,0.02048
10.00000,0.01261
