Hazard Level 8,
,
T (s),Sa (g)
0.01000,0.51107
0.02000,0.51701
0.03000,0.53150
0.05000,0.57466
0.07500,0.68940
0.10000,0.79945
0.15000,1.10100
0.20000,1.21099
0.25000,1.17384
0.30000,1.09403
0.40000,0.95318
0.50000,0.87479
0.75000,0.72160
0.82000,0.70249
1.00000,0.54704
1.50000,0.29956
2.00000,0.19339
3.00000,0.10386
4.00000,0.06915
5.00000,0.05014
7.50000,0.02695
10.00000,0.01608
