Hazard Level 2,
,
T (s),Sa (g)
0.01000,0.14743
0.02000,0.15025
0.03000,0.15748
0.05000,0.18092
0.07500,0.22864
0.10000,0.26888
0.15000,0.33043
0.20000,0.34439
0.25000,0.32175
0.30000,0.28955
0.40000,0.24061
0.50000,0.20997
0.75000,0.15318
0.82000,0.14842
1.00000,0.12687
1.50000,0.07723
2.00000,0.05320
3.00000,0.03055
4.00000,0.02090
5.00000,0.01537
7.50000,0.00910
10.00000,0.00599
