Hazard Level 7,
,
T (s),Sa (g)
0.01000,0.46602
0.02000,0.47184
0.03000,0.48611
0.05000,0.52898
0.07500,0.63830
0.10000,0.74163
0.15000,1.01038
0.20000,1.10478
0.25000,1.06616
0.30000,0.98959
0.40000,0.85689
0.50000,0.78200
0.75000,0.63748
0.82000,0.62015
1.00000,0.48741
1.50000,0.26993
2.00000,0.17551
3.00000,0.09511
4.00000,0.06365
5.00000,0.04638
7.50000,0.02528
10.00000,0.01518
