ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,LS1-DamageStateWeights,LS2-Family,LS2-Theta_0,LS2-Theta_1,LS2-DamageStateWeights,LS3-Family,LS3-Theta_0,LS3-Theta_1,LS3-DamageStateWeights,LS4-Family,LS4-Theta_0,LS4-Theta_1,LS4-DamageStateWeights
collapse,0,Peak Spectral Acceleration|0.945,g,0,1,lognormal,4.5,0.6,,,,,,,,,,,,,
irreparable,0,Residual Interstory Drift Ratio,rad,0,1,lognormal,0.04,0.8,,,,,,,,,,,,,
